,titulo,preco,quartos,area
221,"Apartamento para locação, CENTRO, TOLEDO - PR ",4350.0,2.0,120.0
224,"Apartamento para Locação, VILA INDUSTRIAL, TOLEDO - PR ",3800.0,2.0,132.6
226,"Apartamento para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",2500.0,2.0,103.0
228,"Apartamento para locação, JARDIM GISELA, TOLEDO - PR ",2800.0,1.0,90.0
230,"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",3250.0,2.0,218.52
231,"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",3250.0,2.0,218.52
232,"Casa para Locação, JARDIM GISELA, TOLEDO - PR ",4000.0,2.0,200.48
234,"Apartamento para locação, TOCANTINS, TOLEDO - PR ",2500.0,1.0,70.0
235,"Apartamento para locação, TOCANTINS, TOLEDO - PR ",2500.0,1.0,70.0
237,"Casa para Locação, JARDIM LA SALLE, TOLEDO - PR ",4800.0,1.0,500.0
238,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1800.0,3.0,333.69
240,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1600.0,3.0,298.0
242,"Apartamento para Locação, VILA INDUSTRIAL, TOLEDO - PR ",2200.0,1.0,65.0
247,"Apartamento para locação, CENTRO, TOLEDO - PR ",2500.0,2.0,140.0
252,"Apartamento, CENTRO, TOLEDO - PR ",1200.0,1.0,38.04
254,"Apartamento, JARDIM CONCÓRDIA, TOLEDO - PR ",2000.0,2.0,102.46
255,"Apartamento para locação, JARDIM PANCERA, TOLEDO - PR ",2200.0,1.0,115.0
256,"Apartamento para locação, EDIFICIO SARTURI CENTRO, TOLEDO - PR ",2350.0,2.0,69.0
258,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1600.0,2.0,72.43
259,"Apartamento para locação, JARDIM GISELA, TOLEDO - PR ",2000.0,2.0,70.0
260,"Casa para locação, CENTRO, TOLEDO - PR ",3900.0,2.0,150.0
261,"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",3000.0,2.0,0.01
262,"Apartamento para locação, JARDIM LA SALLE, TOLEDO - PR ",1300.0,2.0,66.0
263,"Apartamento para locação, VILA INDUSTRIAL, TOLEDO - PR ",1500.0,2.0,70.47
264,"Apartamento para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",1300.0,2.0,74.29
265,"Apartamento para locação, CENTRO, TOLEDO - PR ",4000.0,2.0,200.0
269,APARTAMENTO BAIRRO VILA BECKER ,1300.0,2.0,83.0
271,APARTAMENTO BAIRRO CENTRO ,1850.0,2.0,80.29
278,"Sobrado para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",4500.0,2.0,495.0
279,SOBRADO BAIRRO JARDIM PORTO ALEGRE ,3500.0,3.0,200.0
294,"Apartamento para locação, JARDIM PANCERA, TOLEDO - PR ",1500.0,2.0,72.19
297,"Apartamento para Locação, CENTRO, TOLEDO - PR ",2500.0,2.0,150.0
302,"Apartamento para locação, JARDIM LA SALLE, TOLEDO - PR ",3000.0,2.0,91.97
325,"Apartamento para locação, JARDIM SANTA MARIA, TOLEDO - PR ",1600.0,2.0,108.24
329,"Casa, VILA INDUSTRIAL, TOLEDO - PR ",3100.0,2.0,195.0
347,"Apartamento para locação, CENTRO, TOLEDO - PR ",4350.0,2.0,120.0
350,"Apartamento para Locação, VILA INDUSTRIAL, TOLEDO - PR ",3800.0,2.0,132.6
352,"Apartamento para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",2500.0,2.0,103.0
354,"Apartamento para locação, JARDIM GISELA, TOLEDO - PR ",2800.0,1.0,90.0
356,"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",3250.0,2.0,218.52
357,"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",3250.0,2.0,218.52
358,"Casa para Locação, JARDIM GISELA, TOLEDO - PR ",4000.0,2.0,200.48
360,"Apartamento para locação, TOCANTINS, TOLEDO - PR ",2500.0,1.0,70.0
361,"Apartamento para locação, TOCANTINS, TOLEDO - PR ",2500.0,1.0,70.0
363,"Casa para Locação, JARDIM LA SALLE, TOLEDO - PR ",4800.0,1.0,500.0
364,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1800.0,3.0,333.69
366,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1600.0,3.0,298.0
368,"Apartamento para Locação, VILA INDUSTRIAL, TOLEDO - PR ",2200.0,1.0,65.0
373,"Apartamento para locação, CENTRO, TOLEDO - PR ",2500.0,2.0,140.0
378,"Apartamento, CENTRO, TOLEDO - PR ",1200.0,1.0,38.04
380,"Apartamento, JARDIM CONCÓRDIA, TOLEDO - PR ",2000.0,2.0,102.46
381,"Apartamento para locação, JARDIM PANCERA, TOLEDO - PR ",2200.0,1.0,115.0
382,"Apartamento para locação, EDIFICIO SARTURI CENTRO, TOLEDO - PR ",2350.0,2.0,69.0
384,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1600.0,2.0,72.43
385,"Apartamento para locação, JARDIM GISELA, TOLEDO - PR ",2000.0,2.0,70.0
386,"Casa para locação, CENTRO, TOLEDO - PR ",3900.0,2.0,150.0
387,"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",3000.0,2.0,0.01
388,"Apartamento para locação, JARDIM LA SALLE, TOLEDO - PR ",1300.0,2.0,66.0
389,"Apartamento para locação, VILA INDUSTRIAL, TOLEDO - PR ",1500.0,2.0,70.47
390,"Apartamento para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",1300.0,2.0,74.29
391,"Apartamento para locação, CENTRO, TOLEDO - PR ",4000.0,2.0,200.0
395,KITNET DISPONÍVEL PARA LOCAÇÃO NO JD. COOPAGRO - TOLEDO - PR,900.0,2.0,35.0
397,"Apartamento para locação, Jardim Santa Maria, TOLEDO - PR",1200.0,2.0,65.0
398,"Apartamento para locação, Jardim Santa Maria, TOLEDO - PR",1300.0,2.0,55.0
399,"Apartamento com 2 dormitórios para locação, Jardim La Salle, TOLEDO - PR",1550.0,2.0,73.16
401,"CASA  03 QUARTO PARA LOCAÇÃO, EXCELENTE VILA BECKER - TOLEDO PR",1600.0,3.0,600.0
402,SOBRADO COM 01 SUÍTE E 01 QUARTO PARA LOCAÇÃO NO CENTRO DE TOLEDO PR,1600.0,1.0,62.0
403,"CASA NOVA COM 03 QUARTOS PARA LOCAÇÃO, JD. SÃO FRANCISCO - TOLEDO PR",1650.0,3.0,125.0
407,"CASA NOVA COM 01 SUÍTE E 01 QUARTO PARA LOCAÇÃO, JD. COOPAGRO - TOLEDO PR",1900.0,1.0,125.0
408,"Casa para locação, Jardim Pancera, TOLEDO - PR",2000.0,3.0,105.0
411,CASA COM 01 SUÍTE E 02 QUARTOS PARA LOCAÇÃO NO CENTRO DE TOLEDO PR,2250.0,2.0,237.59
413,"APARTAMENTO SEMI MOBILIADO PARA LOCAÇÃO, CENTRO - TOLEDO PR",2500.0,1.0,118.0
417,"SOBRADO PARA LOCAÇÃO COM 01 SUÍTE E 02 QUARTOS, JD. COOPAGRO - TOLEDO PR",2500.0,2.0,110.0
420,"SOBRADO COM 02 QUARTOS DISPONÍVEL PARA LOCAÇÃO, JD. PARIZZOTTO - TOLEDO PR",3000.0,2.0,70.0
423,"CASA COM 01 SUÍTE E 02 QUARTOS PARA LOCAÇÃO, VILA INDUSTRIAL - TOLEDO PR",3100.0,2.0,195.0
428,"Apartamento com 3 dormitórios para locação, Jardim La Salle, TOLEDO - PR",3800.0,2.0,120.0
431,"APARTAMENTO COM 01 SUÍTE E 02 QUARTOS PARA LOCAÇÃO, CENTRO - TOLEDO PR",4300.0,2.0,164.0
1312,"Casa para locação e venda com 03 quartos e piscina, Vila Becker, TOLEDO - PR",4200.0,3.0,203.0
1313,Apartamento semi-mobiliado  à venda e locação no  Centro de Toledo,2850.0,2.0,233.33
1333,"Apartamento com 3 dormitórios à venda,108m , Centro, TOLEDO - PR",4800.0,2.0,200.0
1336,"Sobrado com 3 dormitórios para locação com piscina, Centro, TOLEDO - PR",3900.0,2.0,170.0
1338,"Apartamento com 3 dormitórios para locação,216.99 m , TOLEDO - PR",3600.0,2.0,216.99
1342,"Sobrado com 3 dormitórios para locação,1065.40 m , TOLEDO - PR",3350.0,2.0,1065.4
1345,"Casa com 3 dormitórios para locação,450.00 m , Jardim Pancera, TOLEDO - PR",3000.0,2.0,450.0
1346,"Apartamento com 2 dormitórios para locação,90.72 m , TOLEDO - PR",3000.0,1.0,90.72
1347,"Apartamento com 3 dormitórios para locação, Centro, TOLEDO - PR",3000.0,2.0,140.0
1348,"Apartamento com 3 dormitórios para locação, Centro, TOLEDO - PR",3000.0,2.0,140.0
1361,"Casa para locação com 02 quartos e suite, Jardim Anápolis, TOLEDO - PR",2600.0,2.0,132.0
1364,"Apartamento para locação com 02 quartos, Vila Industrial, TOLEDO - PR",2500.0,2.0,80.0
1365,"Apartamento para locação com 02 quartos e cozinha, Vila Industrial, TOLEDO - PR",2500.0,2.0,70.0
1372,"Apartamento Mobiliado para locação, Vila Becker, TOLEDO - PR",2150.0,2.0,74.0
1375,"Apartamento para locação com 02 quartos, Jardim La Salle, TOLEDO - PR",2000.0,2.0,63.76
1377,"Casa para locação com 03 quartos, Vila Industrial, TOLEDO - PR",1900.0,3.0,95.0
1378,"Apartamento para locação, Jardim Porto Alegre, TOLEDO - PR",1900.0,2.0,58.0
1381,"Apartamento para locação, Vila Industrial, com condomínio incluso, TOLEDO - PR",1800.0,2.0,57.45
1383,"Apartamento com 1 dormitório para alugar, Centro Toledo/PR",1650.0,1.0,55.65
1384,"Casa para locação, Jardim Concórdia, TOLEDO - PR",1650.0,2.0,54.96
1385,Casa Semi Mobiliada com 02 quartos - 01 Bwc - Sala e cozinha integradas -,1600.0,2.0,103.0
1386,"Casa com 2 dormitórios para locação,135.00 m , Vila Operária, TOLEDO - PR",1600.0,1.0,135.0
1387,Apartamento com 02 quartos na Vila Industrial,1600.0,2.0,70.53
1388,"Casa com 2 dormitórios para alugar, 57 m² - Coopagro - Toledo/PR",1500.0,2.0,70.0
1389,"Casa com 2 dormitórios para alugar, 49 m²  - Vila Industrial",1500.0,2.0,83.73
1390,"Apartamento com 2 dormitórios para locação,76.00 m , TOLEDO - PR",1500.0,2.0,76.0
1394,"Apartamento para locação, Jardim Coopagro, TOLEDO - PR",1300.0,2.0,78.8
1396,"Casa com 2 dormitórios para locação, Jardim Alto Alegre, TOLEDO - PR",1300.0,1.0,55.0
1397,Apartamento com 2 quartos e ótima localização no Jardim Pancera - Toledo|PR,1200.0,2.0,83.47
1398,"Apartamento com 2 dormitórios, Jardim La Salle, TOLEDO - PR",1200.0,2.0,50.0
1400,"Apartamento com 2 dormitórios para alugar, Vila Industrial",1100.0,2.0,54.0
1401,"Apartamento com 2 dormitórios para alugar, 53 m²  - Panorama TOLEDO - PR",1050.0,2.0,58.85
1402,"Apartamento com 1 dormitório para alugar, 40 m² , Biopark - TOLEDO - PR",950.0,1.0,62.0
1404,Apartamento com 2 dormitórios para alugar - Vila Becker - Tole,950.0,2.0,60.0
