Titulo do imóvel,Tipo,Preço,Valor Condominio,Quartos,Suítes,Área Total,Bairro,Link para o anúncio,Origem
Casa com 1 suite. 1 Quarto e 1 Espaço Integrada aos fundos- Ideal para Profissionais Autônomos,Casa,R$ 2.380.00,R$ None,1,1,,Jardim Panorama - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Panorama/13107,Imobiliaria Ativa
Apartamento Padrão localizado no Bairro São Francisco,Apartamento,R$ 1.200.00,R$ 300.00,2,,52.84 m²,Jardim São Francisco - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Sao-Francisco/12448,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 2.200.00,R$ None,1,1,,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Coopagro/11251,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.450.00,R$ 280.00,2,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/2645,Imobiliaria Ativa
Casa com 4 dormitorios e comodos espaçosos. Boa Esperança/ Vila Pioneira,Casa,R$ 1.700.00,R$ None,4,,98.80 m²,Vila Pioneiro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Vila-Pioneiro/13191,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.350.00,R$ 350.00,2,,76 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/1099,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 700.00,R$ None,2,,60 m²,Vila Operaria/Boa Esperanca - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Vila-OperariaBoa-Esperanca/2919,Imobiliaria Ativa
CASA ALTO PADRAO NO JARDIM LA SALLE,Casa,R$ 7.500.00,R$ None,2,1,,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Sobrado/Jardim-La-Salle/11263,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.250.00,R$ 200.00,2,,50 m²,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/2404,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.450.00,R$ 250.00,2,,72 m²,Vila Becker - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Becker/12130,Imobiliaria Ativa
Apartamento padrão Localizado no BIOPARK,Apartamento,R$ 1.350.00,R$ 230.00,2,,52.25 m²,BIOPARK - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/BIOPARK/11980,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.450.00,R$ 350.00,2,1,,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/8080,Imobiliaria Ativa
Aluguel no Jardim La Salle - Casa com Piscina e 4 Quartos!,Casa,R$ 13.500.00,R$ None,2,2,,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-La-Salle/12980,Imobiliaria Ativa
Apartamento padrão com suíte localizado no Centro. próximo a supermercado,Apartamento,R$ 1.800.00,R$ 280.00,1,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/12149,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 2.100.00,R$ None,3,,192.50 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Coopagro/13068,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.600.00,R$ 280.00,1,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Pancera/2284,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 1.350.00,R$ None,2,,250 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Coopagro/2266,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.350.00,R$ 320.00,2,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Apartamento/Padrao/Vila-Industrial/6063,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.500.00,R$ 350.00,1,,42.02 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/13106,Imobiliaria Ativa
Apartamento Semi mobiliado. amplo. com sacada e churrasqueira - no jardim Gisele,Apartamento,R$ 2.200.00,R$ 300.00,2,,75 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Gisela/12907,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.800.00,R$ 300.00,2,,71.12 m²,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Pancera/1356,Imobiliaria Ativa
Casa - Condomínio,Casa,R$ 1.100.00,R$ None,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Condominio/Jardim-Pancera/7185,Imobiliaria Ativa
Apartamento para locação - Localizado no Jardim Santa Maria,Apartamento,R$ 2.650.00,R$ 300.00,1,1,,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/1257,Imobiliaria Ativa
Sobrado Amplo com duas Piscinas - Jardim Porto Alegre,Sobrado,R$ 10.000.00,R$ None,3,1,,Jardim Porto Alegre - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Casa/Sobrado/Jardim-Porto-Alegre/13059,Imobiliaria Ativa
Apartamento - Duplex,Apartamento,R$ 2.500.00,R$ 350.00,3,1,,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Duplex/Jardim-La-Salle/3449,Imobiliaria Ativa
Apartamento Semi Mobiliado no Residencial FLOR DA MATA-Bloco C. 4° pavimento,Apartamento,R$ 1.700.00,R$ 260.00,2,,53.83 m²,Jardim Concórdia - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Concordia/12286,Imobiliaria Ativa
Sobrado com excelente localização proximo ao centro,Sobrado,R$ 3.300.00,R$ None,2,,143.42 m²,Jardim Parizotto - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Sobrado/Jardim-Parizotto/5512,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.500.00,R$ 250.00,2,,61.67 m²,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/52,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.400.00,R$ 200.00,2,,77.10 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Gisela/268,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.500.00,R$ 250.00,2,,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/2391,Imobiliaria Ativa
Casa - Sobrado,Casa,R$ 3.300.00,R$ None,2,1,,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Sobrado/Jardim-Gisela/5286,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.400.00,R$ 250.00,2,,66.14 m²,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/2374,Imobiliaria Ativa
Casa Ampla com Piscina no Jardim Pancera - Conforto e Espaço para Toda a Família,Casa,R$ 6.350.00,R$ None,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Casa/Padrao/Jardim-Pancera/12918,Imobiliaria Ativa
Casa - Condomínio,Casa,R$ 1.000.00,R$ None,2,,360 m²,Vila Becker - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Condominio/Vila-Becker/2710,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.500.00,R$ 250.00,2,,65 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/151,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.400.00,R$ 250.00,2,,61.63 m²,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/2770,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.900.00,R$ 380.00,2,1,,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Gisela/10645,Imobiliaria Ativa
Casa Padrão com suite e dois dormitórios. e com lindo acabamento,Casa,R$ 3.100.00,R$ None,2,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Vila-Industrial/12449,Imobiliaria Ativa
Ampla casa com Piscina localizada no Jardim Pancera,Casa,R$ 5.900.00,R$ None,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Pancera/12777,Imobiliaria Ativa
Casa - Sobrado,Casa,R$ 5.000.00,R$ None,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Casa/Sobrado/Jardim-Pancera/11425,Imobiliaria Ativa
Apartamento Duplex em Excelente localização,Apartamento,R$ 2.800.00,R$ None,3,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Duplex/Centro/13072,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.600.00,R$ 250.00,2,,65.22 m²,Vila Becker - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Becker/82,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 3.900.00,R$ 350.00,1,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/3300,Imobiliaria Ativa
Apartamento com 1 Demi Suite e 1 quarto. em ótima localização,Apartamento,R$ 2.200.00,R$ 300.00,2,,66.64 m²,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-La-Salle/6482,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 11.000.00,R$ 1.500.00,3,3,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Apartamento/Padrao/Vila-Industrial/3549,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.500.00,R$ 250.00,2,,63 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/260,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.490.00,R$ 180.00,2,,65 m²,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/263,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.850.00,R$ 250.00,2,,58 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Gisela/3428,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.600.00,R$ 280.00,2,,52.61 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/9098,Imobiliaria Ativa
Casa - Sobrado,Casa,R$ 5.100.00,R$ None,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Sobrado/Jardim-Pancera/10204,Imobiliaria Ativa
More com Conforto: Apartamento com Piscina Aquecida e 3 Quartos,Apartamento,R$ 3.800.00,R$ 480.00,2,1,,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-La-Salle/12954,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 3.400.00,R$ None,5,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Centro/35,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 3.600.00,R$ None,3,1,664.95 m²,Vila Becker - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Vila-Becker/2614,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.490.00,R$ 180.00,2,,65 m²,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/270,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 2.000.00,R$ None,,,82.61 m²,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Sala-Comercial-em-Condominio/Jardim-Santa-Maria/4655,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.700.00,R$ 350.00,1,1,,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/2339,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.400.00,R$ 250.00,2,,,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/2735,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.800.00,R$ 300.00,1,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/13005,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.500.00,R$ 250.00,2,,63 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/1314,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.350.00,R$ 300.00,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Pancera/6349,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 4.700.00,R$ 450.00,3,3,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Apartamento/Padrao/Centro/12422,Imobiliaria Ativa
Sala Comercial com excelente localização - no Edifício Corporativo Toledo - Dom Pedro II,Sala Comercial,R$ 1.800.00,R$ None,,,53 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Sala-Comercial/Centro/12462,Imobiliaria Ativa
Apartamento com Acesso Separado e Garagem - Em Cima de Ponto Comercial,Sala Comercial,R$ 2.500.00,R$ None,1,1,,Vila Pioneiro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Pioneiro/13114,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.800.00,R$ 500.00,2,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Apartamento/Padrao/Centro/2508,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.350.00,R$ 350.00,3,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/10770,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.400.00,R$ 300.00,2,,55.17 m²,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Coopagro/369,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.550.00,R$ 250.00,2,,88 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Tocantins/2408,Imobiliaria Ativa
Excelente Sala Comercial Nova no centro de Toledo,Sala Comercial,R$ 6.000.00,R$ None,,,160 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Sala-Comercial/Centro/12284,Imobiliaria Ativa
Excelente sala comercial,Sala Comercial,R$ 2.200.00,R$ None,,,53 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/10887,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.490.00,R$ 180.00,2,,65 m²,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/264,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.400.00,R$ 180.00,2,1,,Jardim São Francisco - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Sao-Francisco/9967,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 4.200.00,R$ None,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Pancera/12893,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 1.400.00,R$ None,2,1,,Jardim Coopagro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Casa/Padrao/Jardim-Coopagro/8807,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.250.00,R$ 180.00,2,,87.50 m²,Vila Becker - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Becker/2420,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.800.00,R$ 300.00,2,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Vila-Industrial/9899,Imobiliaria Ativa
Apartamento/Padrão - Residencial - No bairro Jardim Santa Maria - EDIFICIO SANTORINI,Apartamento,R$ 2.300.00,R$ 250.00,1,1,,Jardim Santa Maria - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Santa-Maria/12956,Imobiliaria Ativa
Barracão com excelente estrutura para locação!,Barracão,R$ 7.000.00,R$ None,,,410 m²,Jardim Europa/America - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Jardim-EuropaAmerica/10900,Imobiliaria Ativa
Casa - Sobrado,Casa,R$ 9.000.00,R$ None,3,1,,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Casa/Sobrado/Jardim-Gisela/2414,Imobiliaria Ativa
Comercial Sala Comercial- JJ Muraro Centro,Sala Comercial,R$ 3.000.00,R$ None,,,39.56 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12058,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 11.900.00,R$ None,3,2,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Casa/Padrao/Centro/10574,Imobiliaria Ativa
Oportunidade!,None,R$ 6.000.00,R$ None,,,1628.84 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/11348,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 4.000.00,R$ None,,,120 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/5247,Imobiliaria Ativa
SALA COMERCIAL. EM LOCALIZAÇÃO PREVILEGIADA- VILA PIONEIRA,Sala Comercial,R$ 2.800.00,R$ None,,,100 m²,Vila Pioneiro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Pioneiro/13112,Imobiliaria Ativa
Sala Comercial com amplo espaço. no centro de Toledo,Sala Comercial,R$ 3.900.00,R$ None,,,210 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12990,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 5.000.00,R$ 400.00,3,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/4425,Imobiliaria Ativa
Comercial - Imóvel Comercial,Sala Comercial,R$ 6.000.00,R$ None,2,1,,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Imovel-Comercial/Jardim-La-Salle/11095,Imobiliaria Ativa
Sala Comercial eem otima localização- Centro de Toledo,Sala Comercial,R$ 2.700.00,R$ None,,,30 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/13049,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 5.300.00,R$ None,,,163.38 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/6684,Imobiliaria Ativa
Comercial - Barracão,Sala Comercial,R$ 9.000.00,R$ None,,,495 m²,Jardim Gisela - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Barracao/Jardim-Gisela/2311,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 1.700.00,R$ 350.00,2,,130.79 m²,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-La-Salle/3718,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.600.00,R$ 350.00,2,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/6925,Imobiliaria Ativa
Sala Comercial com excelente localização proximo a Prefeitura Municipal de Toledo,Sala Comercial,R$ 2.800.00,R$ None,,,74 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Centro/12152,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 4.800.00,R$ 450.00,3,3,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Apartamento/Padrao/Centro/11730,Imobiliaria Ativa
Comercial - Sala Comercial,Sala Comercial,R$ 10.500.00,R$ None,,,610 m²,Jardim La Salle - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Jardim-La-Salle/2230,Imobiliaria Ativa
Amplo barracão para locação na rua Carlos Barbosa - Loteamento Tocantins,Barracão,R$ 13.000.00,R$ None,,,900 m²,Jardim Tocantins - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Barracao/Jardim-Tocantins/12857,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.250.00,R$ 280.00,2,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Jardim-Pancera/4796,Imobiliaria Ativa
Apartamento bem localizado. 3 quadras do Lago Municipal!,Apartamento,R$ 3.800.00,R$ 400.00,2,1,,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Apartamento/Padrao/Vila-Industrial/12545,Imobiliaria Ativa
Sala Comercial em otima localização- Vila Industriaal,Sala Comercial,R$ 2.500.00,R$ None,,,115 m²,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial/Vila-Industrial/13071,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 1.800.00,R$ None,,,59.18 m²,Vila Industrial - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Comercial/Sala-Comercial-em-Condominio/Vila-Industrial/12285,Imobiliaria Ativa
Comercial - Sala Comercial em Condomínio,Sala Comercial,R$ 3.000.00,R$ None,,,86.28 m²,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Comercial/Sala-Comercial-em-Condominio/Centro/12998,Imobiliaria Ativa
Casa - Padrão,Casa,R$ 4.500.00,R$ None,4,1,,Jardim Pancera - Toledo/PR,https://www.imobiliariaativa.com.br/comprar/Toledo/Casa/Padrao/Jardim-Pancera/842,Imobiliaria Ativa
Apartamento - Padrão,Apartamento,R$ 2.400.00,R$ 180.00,2,1,,Centro - Toledo/PR,https://www.imobiliariaativa.com.br/alugar/Toledo/Apartamento/Padrao/Centro/2668,Imobiliaria Ativa
