userId,total_carts,total_items,total_amount,usuarios,products
87,1,17.0,456.83000000000004,,[]
90,1,22.0,3534.78,,[]
94,1,18.0,586.8199999999999,,"[{'id': 16, 'title': 'Apple', 'description': 'Fresh and crisp apples, perfect for snacking or incorporating into various recipes.', 'category': 'groceries', 'price': 1.99, 'discountPercentage': 12.62, 'rating': 4.19, 'stock': 8, 'tags': ['fruits'], 'brand': nan, 'sku': 'GRO-BRD-APP-016', 'weight': 9, 'warrantyInformation': '3 year warranty', 'shippingInformation': 'Ships in 2 weeks', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 5, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Sophia Brown', 'reviewerEmail': 'sophia.brown@x.dummyjson.com'}, {'rating': 1, 'comment': 'Very dissatisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Scarlett Bowman', 'reviewerEmail': 'scarlett.bowman@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'William Gonzalez', 'reviewerEmail': 'william.gonzalez@x.dummyjson.com'}], 'returnPolicy': '90 days return policy', 'minimumOrderQuantity': 7, 'images': ['https://cdn.dummyjson.com/product-images/groceries/apple/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp', 'dimensions.width': 13.66, 'dimensions.height': 11.01, 'dimensions.depth': 9.73, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '7962803553314', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
108,1,13.0,16775.87,,[]
118,1,2.0,412.98,,"[{'id': 4, 'title': 'Red Lipstick', 'description': 'The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.', 'category': 'beauty', 'price': 12.99, 'discountPercentage': 12.16, 'rating': 4.36, 'stock': 91, 'tags': ['beauty', 'lipstick'], 'brand': 'Chic Cosmetics', 'sku': 'BEA-CHI-LIP-004', 'weight': 1, 'warrantyInformation': '3 year warranty', 'shippingInformation': 'Ships in 1 week', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Liam Garcia', 'reviewerEmail': 'liam.garcia@x.dummyjson.com'}, {'rating': 5, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ruby Andrews', 'reviewerEmail': 'ruby.andrews@x.dummyjson.com'}, {'rating': 5, 'comment': 'Would buy again!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Clara Berry', 'reviewerEmail': 'clara.berry@x.dummyjson.com'}], 'returnPolicy': '7 days return policy', 'minimumOrderQuantity': 40, 'images': ['https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp', 'dimensions.width': 18.11, 'dimensions.height': 28.38, 'dimensions.depth': 22.17, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '9467746727219', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
134,1,20.0,7431.3,,"[{'id': 8, 'title': ""Dior J'adore"", 'description': ""J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication."", 'category': 'fragrances', 'price': 89.99, 'discountPercentage': 14.72, 'rating': 3.8, 'stock': 98, 'tags': ['fragrances', 'perfumes'], 'brand': 'Dior', 'sku': 'FRA-DIO-DIO-008', 'weight': 4, 'warrantyInformation': '1 week warranty', 'shippingInformation': 'Ships in 2 weeks', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 5, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nicholas Bailey', 'reviewerEmail': 'nicholas.bailey@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Penelope Harper', 'reviewerEmail': 'penelope.harper@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Emma Miller', 'reviewerEmail': 'emma.miller@x.dummyjson.com'}], 'returnPolicy': '7 days return policy', 'minimumOrderQuantity': 10, 'images': [""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/2.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/3.webp""], 'thumbnail': ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp"", 'dimensions.width': 27.67, 'dimensions.height': 28.28, 'dimensions.depth': 11.83, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '1445086097250', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}, {'id': 28, 'title': 'Ice Cream', 'description': 'Creamy and delicious ice cream, available in various flavors for a delightful treat.', 'category': 'groceries', 'price': 5.49, 'discountPercentage': 8.69, 'rating': 3.39, 'stock': 27, 'tags': ['desserts'], 'brand': nan, 'sku': 'GRO-BRD-CRE-028', 'weight': 1, 'warrantyInformation': '1 month warranty', 'shippingInformation': 'Ships in 2 weeks', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 5, 'comment': 'Very pleased!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Elijah Cruz', 'reviewerEmail': 'elijah.cruz@x.dummyjson.com'}, {'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jace Smith', 'reviewerEmail': 'jace.smith@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Sadie Morales', 'reviewerEmail': 'sadie.morales@x.dummyjson.com'}], 'returnPolicy': 'No return policy', 'minimumOrderQuantity': 42, 'images': ['https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp', 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/2.webp', 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/3.webp', 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/4.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp', 'dimensions.width': 14.83, 'dimensions.height': 15.07, 'dimensions.depth': 24.2, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '0788954559076', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
140,1,12.0,222.88,,"[{'id': 2, 'title': 'Eyeshadow Palette with Mirror', 'description': ""The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application."", 'category': 'beauty', 'price': 19.99, 'discountPercentage': 18.19, 'rating': 2.86, 'stock': 34, 'tags': ['beauty', 'eyeshadow'], 'brand': 'Glamour Beauty', 'sku': 'BEA-GLA-EYE-002', 'weight': 9, 'warrantyInformation': '1 year warranty', 'shippingInformation': 'Ships in 2 weeks', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 5, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Savannah Gomez', 'reviewerEmail': 'savannah.gomez@x.dummyjson.com'}, {'rating': 4, 'comment': 'Awesome product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Christian Perez', 'reviewerEmail': 'christian.perez@x.dummyjson.com'}, {'rating': 1, 'comment': 'Poor quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nicholas Bailey', 'reviewerEmail': 'nicholas.bailey@x.dummyjson.com'}], 'returnPolicy': '7 days return policy', 'minimumOrderQuantity': 20, 'images': ['https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp', 'dimensions.width': 9.26, 'dimensions.height': 22.47, 'dimensions.depth': 27.67, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '9170275171413', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
141,1,13.0,192.87,,"[{'id': 1, 'title': 'Essence Mascara Lash Princess', 'description': 'The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.', 'category': 'beauty', 'price': 9.99, 'discountPercentage': 10.48, 'rating': 2.56, 'stock': 99, 'tags': ['beauty', 'mascara'], 'brand': 'Essence', 'sku': 'BEA-ESS-ESS-001', 'weight': 4, 'warrantyInformation': '1 week warranty', 'shippingInformation': 'Ships in 3-5 business days', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 3, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Eleanor Collins', 'reviewerEmail': 'eleanor.collins@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Lucas Gordon', 'reviewerEmail': 'lucas.gordon@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Eleanor Collins', 'reviewerEmail': 'eleanor.collins@x.dummyjson.com'}], 'returnPolicy': 'No return policy', 'minimumOrderQuantity': 48, 'images': ['https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp', 'dimensions.width': 15.14, 'dimensions.height': 13.08, 'dimensions.depth': 22.99, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '5784719087687', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
142,1,20.0,4794.8,,[]
147,2,29.0,7967.71,,"[{'id': 1, 'title': 'Essence Mascara Lash Princess', 'description': 'The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.', 'category': 'beauty', 'price': 9.99, 'discountPercentage': 10.48, 'rating': 2.56, 'stock': 99, 'tags': ['beauty', 'mascara'], 'brand': 'Essence', 'sku': 'BEA-ESS-ESS-001', 'weight': 4, 'warrantyInformation': '1 week warranty', 'shippingInformation': 'Ships in 3-5 business days', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 3, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Eleanor Collins', 'reviewerEmail': 'eleanor.collins@x.dummyjson.com'}, {'rating': 4, 'comment': 'Very satisfied!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Lucas Gordon', 'reviewerEmail': 'lucas.gordon@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Eleanor Collins', 'reviewerEmail': 'eleanor.collins@x.dummyjson.com'}], 'returnPolicy': 'No return policy', 'minimumOrderQuantity': 48, 'images': ['https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp', 'dimensions.width': 15.14, 'dimensions.height': 13.08, 'dimensions.depth': 22.99, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '5784719087687', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
150,1,14.0,35199.86,,[]
160,1,8.0,29499.92,,[]
170,1,17.0,3862.4300000000003,,"[{'id': 25, 'title': 'Green Bell Pepper', 'description': 'Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.', 'category': 'groceries', 'price': 1.29, 'discountPercentage': 0.16, 'rating': 3.25, 'stock': 33, 'tags': ['vegetables'], 'brand': nan, 'sku': 'GRO-BRD-GRE-025', 'weight': 2, 'warrantyInformation': '1 month warranty', 'shippingInformation': 'Ships in 1 week', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 4, 'comment': 'Highly recommended!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Avery Carter', 'reviewerEmail': 'avery.carter@x.dummyjson.com'}, {'rating': 3, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Henry Hill', 'reviewerEmail': 'henry.hill@x.dummyjson.com'}, {'rating': 5, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Addison Wright', 'reviewerEmail': 'addison.wright@x.dummyjson.com'}], 'returnPolicy': '30 days return policy', 'minimumOrderQuantity': 12, 'images': ['https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp', 'dimensions.width': 15.33, 'dimensions.height': 26.65, 'dimensions.depth': 14.44, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '2365227493323', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
172,1,14.0,568.36,,"[{'id': 26, 'title': 'Green Chili Pepper', 'description': 'Spicy green chili pepper, ideal for adding heat to your favorite recipes.', 'category': 'groceries', 'price': 0.99, 'discountPercentage': 1.0, 'rating': 3.66, 'stock': 3, 'tags': ['vegetables'], 'brand': nan, 'sku': 'GRO-BRD-GRE-026', 'weight': 7, 'warrantyInformation': '2 year warranty', 'shippingInformation': 'Ships in 1 week', 'availabilityStatus': 'Low Stock', 'reviews': [{'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Luna Russell', 'reviewerEmail': 'luna.russell@x.dummyjson.com'}, {'rating': 1, 'comment': 'Waste of money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Noah Lewis', 'reviewerEmail': 'noah.lewis@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Clara Berry', 'reviewerEmail': 'clara.berry@x.dummyjson.com'}], 'returnPolicy': '30 days return policy', 'minimumOrderQuantity': 39, 'images': ['https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp', 'dimensions.width': 15.38, 'dimensions.height': 18.12, 'dimensions.depth': 19.92, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '9335000538563', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
177,1,13.0,128249.07,,[]
